Day,Time,Room,Batch,Course,Type,Faculty
Thursday,11:15-13:15,204,ECE_2023,Linear Algebra,LECTURE,Dr. Lakshman
Thursday,11:45-12:45,204,ECE_2023,Professional Communication,LECTURE,Dr. Chandrika Kamath
Thursday,12:15-13:15,204,ECE_2023,Linear Integrated Circuits,LECTURE,Dr. Prakash Pawar
Thursday,15:00-16:30,204,ECE_2023,Electromagnetic Theory,LECTURE,Dr. Somen Bhattacharjee
Thursday,10:45-12:15,104,ECE_2024,Basic Circuit Theory,LECTURE,Dr. Somen Bhattacharjee
Thursday,11:15-13:15,104,ECE_2024,Calculus,LECTURE,Dr. Anand P B
Thursday,11:45-12:45,104,ECE_2024,Programming and Data Structures,LECTURE,Dr. Suvadip Hazra
Thursday,15:00-16:30,104,ECE_2024,Physics for ECE,LECTURE,Dr. Aswath
Thursday,16:30-18:00,104,ECE_2024,Digital Design,LECTURE,Dr. Jagadeesha R Bhat
Friday,11:15-13:15,401,CSE_A_2021,Bioinformatics,LECTURE,Dr. Sunil Kumar P V
Friday,11:45-12:45,401,CSE_A_2021,Information Retrieval,LECTURE,Dr. Krishendu Ghosh
Friday,13:30-15:00,401,CSE_A_2021,Deep Computer Vision,LECTURE,Dr. Dibyajyoti Guha
Friday,15:00-16:30,401,CSE_A_2021,Virtualization and Cloud Computing,LECTURE,Dr. Malay
Friday,09:00-11:00,301,CSE_A_2022,Graph Theory,LECTURE,Dr. Pavan
Friday,11:45-12:45,301,CSE_A_2022,Statistics for Computer Science,LECTURE,Dr. Ramesh Athe
Friday,13:30-15:00,301,CSE_A_2022,Computer Networks,LECTURE,Dr. C B Akki
Friday,14:30-16:30,301,CSE_A_2022,Artificial Intelligence,LECTURE,Dr. Krishendu Ghosh
Friday,09:00-11:00,201,CSE_A_2023,Industrial Social Psychology,LECTURE,Dr. Navyashree
Friday,10:45-12:15,201,CSE_A_2023,Discrete Mathematics,LECTURE,Dr. Animesh Roy
Friday,11:15-13:15,201,CSE_A_2023,Design & Analysis of Algorithms,LECTURE,Dr. Vivekraj
Friday,11:45-12:45,201,CSE_A_2023,Object Oriented Programming,LECTURE,Dr. Pramod
Friday,16:30-18:00,201,CSE_A_2023,Computer Architecture,LECTURE,Dr. Prabhu Prasad B M
Friday,10:45-12:15,101,CSE_A_2024,Probability,LECTURE,Dr. Lakshman
Friday,12:15-13:15,101,CSE_A_2024,Problem Solving through Programming,LECTURE,Dr. Sunil Kumar P V
Friday,15:00-16:30,101,CSE_A_2024,English Language and Communication,LECTURE,Dr. Rajesh
Friday,09:00-10:30,402,CSE_B_2021,Deep Computer Vision,LECTURE,Dr. Dibyajyoti Guha
Friday,11:15-13:15,402,CSE_B_2021,Information Retrieval,LECTURE,Dr. Krishendu Ghosh
Friday,11:45-12:45,402,CSE_B_2021,AI for Cybersecurity,LECTURE,Dr. Abdul Wahid
Friday,14:30-16:30,402,CSE_B_2021,Bioinformatics,LECTURE,Dr. Sunil Kumar P V
Friday,16:00-17:30,402,CSE_B_2021,Computer Graphics,LECTURE,Dr. Vivekraj
Friday,09:00-10:30,302,CSE_B_2022,Parallel Computing,LECTURE,Dr. Pramod
Friday,10:45-12:15,302,CSE_B_2022,Computer Networks,LECTURE,Dr. Sadhvi
Friday,11:15-13:15,302,CSE_B_2022,Artificial Intelligence,LECTURE,Dr. Girish GN
Friday,11:45-12:45,302,CSE_B_2022,Advanced Algorithm Design,LECTURE,Dr. Suvadip Hazra
Friday,16:30-17:30,302,CSE_B_2022,Statistics for Computer Science,LECTURE,Dr. Sunil C K
Friday,09:00-11:00,202,CSE_B_2023,Object Oriented Programming,LECTURE,Dr. Vivekraj
Friday,10:45-12:15,202,CSE_B_2023,Probability,LECTURE,Dr. Anand P B
Friday,15:00-16:30,202,CSE_B_2023,Computer Architecture,LECTURE,Dr. Prabhu Prasad B M
Friday,16:00-17:30,202,CSE_B_2023,Design & Analysis of Algorithms,LECTURE,Dr. Dibyajyoti Guha
Friday,16:30-17:30,202,CSE_B_2023,Discrete Mathematics,LECTURE,Dr. Sadhvi
Friday,11:15-13:15,L107,CSE_B_2024,Problem Solving through Programming,LAB,Dr. Sunil C K
Friday,11:45-12:45,102,CSE_B_2024,English Language and Communication,LECTURE,Dr. Rajesh
Friday,16:00-17:30,102,CSE_B_2024,Introduction to Design,LECTURE,Dr. Sandesh
Friday,09:00-11:00,403,DSAI_2021,Human-Computer Interaction,LECTURE,Dr. Bharatesh Chakravarthi
Friday,10:45-12:15,403,DSAI_2021,Introduction to Cybersecurity,LECTURE,Dr. Rajendra Hegadi
Friday,13:30-15:00,403,DSAI_2021,Healthcare Data Analytics,LECTURE,Dr. Girish GN
Friday,14:30-16:30,403,DSAI_2021,DevOps,LECTURE,Dr. Shirshendu Layek
Friday,15:00-16:30,403,DSAI_2021,Data Science System,LECTURE,Dr. Animesh Chaturvedi
Friday,16:30-17:30,403,DSAI_2021,Advanced Optimization Technique,LECTURE,Dr. Utkarsh Khaire
Friday,09:00-11:00,L308,DSAI_2022,Machine Learning,LAB,Dr. Sunil Kumar P V
Friday,13:30-15:00,303,DSAI_2022,Graphs and Social Networks,LECTURE,Dr. Utkarsh Khaire
Friday,15:00-16:30,303,DSAI_2022,Computer Communication Networks,LECTURE,Dr. C B Akki
Friday,09:00-10:30,203,DSAI_2023,Object Oriented Programming,LECTURE,Dr. Manjunath KV
Friday,09:00-11:00,203,DSAI_2023,Introduction to Systems Thinking,LECTURE,Dr. Jagadeesha R Bhat
Friday,11:45-12:45,203,DSAI_2023,Design & Analysis of Algorithms,LECTURE,Dr. Dibyajyoti Guha
Friday,16:30-18:00,203,DSAI_2023,Discrete Mathematics,LECTURE,Dr. Animesh Roy
Friday,11:15-13:15,103,DSAI_2024,Language and Communication,LECTURE,Dr. Rajesh
Friday,11:45-12:45,103,DSAI_2024,Mathematics for Data Science,LECTURE,Guest Faculty
Friday,16:30-18:00,103,DSAI_2024,Problem Solving through Programming,LECTURE,Dr. Manjunath KV
Friday,09:00-11:00,404,ECE_2021,Energy Efficient Neural Networks,LECTURE,Dr. Jagadish D N
Friday,10:45-12:15,404,ECE_2021,Image Processing and Computer Vision,LECTURE,Dr. Sibasankar Padhy
Friday,11:15-13:15,404,ECE_2021,Antennas & Radar Systems,LECTURE,Dr. Somen Bhattacharjee
Friday,14:30-16:30,404,ECE_2021,Generative AI,LECTURE,Dr. Nataraj
Friday,09:00-11:00,H309,ECE_2022,Digital Signal Processing,LAB,Dr. Somen Bhattacharjee
Friday,09:00-10:30,304,ECE_2022,Advanced Digital Communication System,LECTURE,Dr. Chinmayananda
Friday,10:45-12:15,304,ECE_2022,Internet of Things,LECTURE,Dr. Prakash Pawar
Friday,11:45-12:45,304,ECE_2022,Introduction to VLSI Design,LECTURE,Dr. Jagadish D N
Friday,14:30-16:30,304,ECE_2022,Introduction to Algorithms,LECTURE,Dr. Deepak
Friday,09:00-10:30,204,ECE_2023,Electromagnetic Theory,LECTURE,Dr. Somen Bhattacharjee
Friday,10:45-12:15,204,ECE_2023,Professional Communication,LECTURE,Dr. Utkarsh Khaire
Friday,11:15-13:15,H209,ECE_2023,Linear Integrated Circuits,LAB,Dr. Prakash Pawar
Friday,15:00-16:30,204,ECE_2023,Linear Algebra,LECTURE,Dr. Lakshman
Friday,16:00-17:30,H209,ECE_2023,Microprocessors and Micro-controllers,LAB,Dr. Nataraj
Friday,10:45-12:15,104,ECE_2024,Basic Circuit Theory,LECTURE,Dr. Somen Bhattacharjee
Friday,11:15-13:15,H109,ECE_2024,Digital Design,LAB,Dr. Jagadeesha R Bhat
Friday,11:45-12:45,104,ECE_2024,Physics for ECE,LECTURE,Dr. Aswath
Friday,16:00-17:30,104,ECE_2024,Programming and Data Structures,LECTURE,Dr. Suvadip Hazra
Friday,16:30-17:30,104,ECE_2024,Calculus,LECTURE,Dr. Anand P B
Monday,09:00-10:30,C001,ALL,Digital System Design & Verification,MINOR,Guest Faculty
Monday,11:45-12:45,C002,ALL,Introduction to Research,MINOR,Dr. Anushree Kini
Monday,13:30-15:00,C002,ALL,Introduction to Quantum Information Science & Technology,MINOR,Dr. Abdul Wahid
Monday,11:15-13:15,C004,ALL,Introduction to Cybersecurity,MINOR,Dr. Rajesh
Tuesday,10:45-12:15,C001,ALL,Digital System Design & Verification,MINOR,Guest Faculty
Tuesday,09:00-10:30,C001,ALL,Foundations of ML and Generative AI,MINOR,Dr. Manjunath KV
Tuesday,14:30-16:00,C002,ALL,Introduction to Quantum Information Science & Technology,MINOR,Dr. Abdul Wahid
Wednesday,13:30-15:00,C001,ALL,Digital System Design & Verification,MINOR,Guest Faculty
Wednesday,16:30-17:30,C002,ALL,Introduction to Research,MINOR,Dr. Anushree Kini
Wednesday,14:30-16:00,C001,ALL,Foundations of ML and Generative AI,MINOR,Dr. Manjunath KV
Wednesday,14:30-16:30,C004,ALL,Introduction to Cybersecurity,MINOR,Dr. Rajesh
Thursday,11:15-13:15,C002,ALL,Introduction to Research,MINOR,Dr. Anushree Kini
Thursday,10:45-12:15,C001,ALL,Foundations of ML and Generative AI,MINOR,Dr. Manjunath KV
Friday,10:45-12:15,C002,ALL,Introduction to Quantum Information Science & Technology,MINOR,Dr. Abdul Wahid
Friday,12:15-13:15,C004,ALL,Introduction to Cybersecurity,MINOR,Dr. Rajesh
